model,seed,selected_iou_threshold,test_average_precision,test_iou,test_cross_selectivity,selectivity_valid_fraction,permuted_exact_match,permutation_accuracy_drop
shared_attention,0,0.9000000000000001,0.20743257656508238,0.14321741644541422,nan,0.0,,
shared_attention,1,0.7500000000000001,0.024146797142375977,0.01995067322452863,nan,0.0,,
shared_attention,2,0.9500000000000001,0.24333469510952604,0.1472906619866689,nan,0.0,,
class_attention,0,0.8,0.21929344447107013,0.13868855044047038,0.05326089310889574,0.9749,0.49803333333333333,0.29500000000000004
class_attention,1,0.8,0.12603700852092736,0.09906825607617696,0.017449258841105035,0.9749,0.4407,0.35583333333333333
class_attention,2,0.7500000000000001,0.16337152063627036,0.10949783579508464,0.04205153959031249,0.9749,0.5821666666666667,0.22629999999999995
