model,overlap_level,exact_match_mean,exact_match_standard_deviation,macro_f1_mean,macro_f1_standard_deviation,seed_count
lenet,low,0.8884,0.007374957626996885,0.9433988418897838,0.0037174854002466587,3
lenet,middle,0.8238333333333334,0.00811192537769754,0.9092633604227093,0.004253079901358037,3
lenet,high,0.6706,0.01981893034449638,0.8274830735878126,0.009641469044834605,3
shared_attention,low,0.8843666666666667,0.0008144527815246817,0.94128396007893,0.0004635666257391517,3
shared_attention,middle,0.8182333333333333,0.003271594921950617,0.906623833464248,0.0018564194644683138,3
shared_attention,high,0.6662666666666666,0.020874466061035764,0.8253377010905756,0.01229179682973734,3
class_attention,low,0.8946666666666667,0.006269237061503856,0.9465554143747755,0.0032894486644288266,3
class_attention,middle,0.8290333333333333,0.008124243554530718,0.9120674505521454,0.0042266070823987825,3
class_attention,high,0.6743333333333333,0.011060892067701115,0.8303751287624893,0.005783324399360598,3
